epoch,mean_loss,dc_loss,sa_loss,sdr_in_db,sdr_out_db,delta_sdr_db,is_best
131,0.170106,0.000000,0.170106,,,,0
132,0.164778,0.000000,0.164778,,,,0
133,0.130385,0.000000,0.130385,,,,0
134,0.107111,0.000000,0.107111,,,,0
135,0.084281,0.000000,0.084281,-0.013,3.413,3.426,0
136,0.073109,0.000000,0.073109,,,,0
137,0.060674,0.000000,0.060674,,,,0
138,0.069797,0.000000,0.069797,,,,0
139,0.059145,0.000000,0.059145,,,,0
140,0.048004,0.000000,0.048004,-0.013,5.641,5.655,0
141,0.042817,0.000000,0.042817,,,,0
142,0.038795,0.000000,0.038795,,,,0
143,0.035856,0.000000,0.035856,,,,0
144,0.033802,0.000000,0.033802,,,,0
145,0.031645,0.000000,0.031645,-0.013,6.073,6.086,0
146,0.030206,0.000000,0.030206,,,,0
147,0.028753,0.000000,0.028753,,,,0
148,0.027581,0.000000,0.027581,,,,0
149,0.026506,0.000000,0.026506,,,,0
150,0.025959,0.000000,0.025959,-0.013,6.363,6.376,0
151,0.025347,0.000000,0.025347,,,,0
152,0.024276,0.000000,0.024276,,,,0
153,0.023367,0.000000,0.023367,,,,0
154,0.022929,0.000000,0.022929,,,,0
155,0.022475,0.000000,0.022475,-0.013,6.528,6.541,0
156,0.022253,0.000000,0.022253,,,,0
157,0.021685,0.000000,0.021685,,,,0
158,0.021092,0.000000,0.021092,,,,0
159,0.020746,0.000000,0.020746,,,,0
160,0.020299,0.000000,0.020299,-0.013,6.154,6.167,0
161,0.020172,0.000000,0.020172,,,,0
162,0.019755,0.000000,0.019755,,,,0
163,0.019374,0.000000,0.019374,,,,0
164,0.019224,0.000000,0.019224,,,,0
165,0.018885,0.000000,0.018885,-0.013,6.387,6.400,0
166,0.018878,0.000000,0.018878,,,,0
167,0.018613,0.000000,0.018613,,,,0
168,0.018078,0.000000,0.018078,,,,0
169,0.018136,0.000000,0.018136,,,,0
170,0.017598,0.000000,0.017598,-0.013,6.452,6.465,0
171,0.017324,0.000000,0.017324,,,,0
172,0.017183,0.000000,0.017183,,,,0
173,0.016854,0.000000,0.016854,,,,0
174,0.016640,0.000000,0.016640,,,,0
175,0.016913,0.000000,0.016913,-0.013,6.536,6.549,0
176,0.016630,0.000000,0.016630,,,,0
177,0.016319,0.000000,0.016319,,,,0
178,0.016103,0.000000,0.016103,,,,0
179,0.016033,0.000000,0.016033,,,,0
180,0.015935,0.000000,0.015935,-0.013,6.681,6.694,0
181,0.015765,0.000000,0.015765,,,,0
182,0.015661,0.000000,0.015661,,,,0
183,0.015654,0.000000,0.015654,,,,0
184,0.015540,0.000000,0.015540,,,,0
185,0.015404,0.000000,0.015404,-0.013,6.587,6.600,0
186,0.015249,0.000000,0.015249,,,,0
187,0.015167,0.000000,0.015167,,,,0
188,0.015040,0.000000,0.015040,,,,0
189,0.014978,0.000000,0.014978,,,,0
190,0.015098,0.000000,0.015098,-0.013,6.621,6.634,0
191,0.014778,0.000000,0.014778,,,,0
192,0.014521,0.000000,0.014521,,,,0
193,0.014554,0.000000,0.014554,,,,0
194,0.014617,0.000000,0.014617,,,,0
195,0.014961,0.000000,0.014961,-0.013,6.608,6.621,0
196,0.014814,0.000000,0.014814,,,,0
197,0.014488,0.000000,0.014488,,,,0
198,0.014301,0.000000,0.014301,,,,0
199,0.014166,0.000000,0.014166,,,,0
200,0.013948,0.000000,0.013948,-0.013,6.432,6.445,0
