epoch,mean_loss,dc_loss,sa_loss,sdr_in_db,sdr_out_db,delta_sdr_db,is_best
1,0.287663,0.000000,0.287663,-0.013,-1.570,-1.556,1
2,0.241768,0.000000,0.241768,,,,0
3,0.229787,0.000000,0.229787,,,,0
4,0.222981,0.000000,0.222981,,,,0
5,0.223391,0.000000,0.223391,-0.013,0.366,0.379,1
6,0.232472,0.000000,0.232472,,,,0
7,0.205778,0.000000,0.205778,,,,0
8,0.192731,0.000000,0.192731,,,,0
9,0.172355,0.000000,0.172355,,,,0
10,0.162171,0.000000,0.162171,-0.013,0.837,0.850,1
11,0.169016,0.000000,0.169016,,,,0
12,0.134606,0.000000,0.134606,,,,0
13,0.127427,0.000000,0.127427,,,,0
14,0.105474,0.000000,0.105474,,,,0
15,0.111931,0.000000,0.111931,-0.013,3.424,3.437,1
16,0.092191,0.000000,0.092191,,,,0
17,0.089972,0.000000,0.089972,,,,0
18,0.077557,0.000000,0.077557,,,,0
19,0.073404,0.000000,0.073404,,,,0
20,0.066418,0.000000,0.066418,-0.013,4.742,4.755,1
21,0.079275,0.000000,0.079275,,,,0
22,0.087186,0.000000,0.087186,,,,0
23,0.065695,0.000000,0.065695,,,,0
24,0.056692,0.000000,0.056692,,,,0
25,0.053004,0.000000,0.053004,-0.013,5.409,5.422,1
26,0.049219,0.000000,0.049219,,,,0
27,0.047056,0.000000,0.047056,,,,0
28,0.045218,0.000000,0.045218,,,,0
29,0.043879,0.000000,0.043879,,,,0
30,0.042645,0.000000,0.042645,-0.013,5.698,5.711,1
31,0.039901,0.000000,0.039901,,,,0
32,0.038904,0.000000,0.038904,,,,0
33,0.037412,0.000000,0.037412,,,,0
34,0.036889,0.000000,0.036889,,,,0
35,0.037936,0.000000,0.037936,-0.013,5.944,5.957,1
36,0.034925,0.000000,0.034925,,,,0
37,0.033134,0.000000,0.033134,,,,0
38,0.031183,0.000000,0.031183,,,,0
39,0.030438,0.000000,0.030438,,,,0
40,0.029485,0.000000,0.029485,-0.013,6.062,6.075,1
41,0.028323,0.000000,0.028323,,,,0
42,0.027237,0.000000,0.027237,,,,0
