epoch,mean_loss,dc_loss,sa_loss,sdr_in_db,sdr_out_db,delta_sdr_db,is_best
1,0.576009,0.000000,0.576009,0.009,-2.301,-2.311,1
2,0.534634,0.000000,0.534634,,,,0
3,0.480326,0.000000,0.480326,,,,0
4,0.436021,0.000000,0.436021,,,,0
5,0.409648,0.000000,0.409648,0.009,1.244,1.235,1
6,0.389674,0.000000,0.389674,,,,0
7,0.345011,0.000000,0.345011,,,,0
8,0.358140,0.000000,0.358140,,,,0
9,0.311483,0.000000,0.311483,,,,0
10,0.289147,0.000000,0.289147,0.009,2.694,2.684,1
11,0.257163,0.000000,0.257163,,,,0
12,0.246113,0.000000,0.246113,,,,0
13,0.230803,0.000000,0.230803,,,,0
14,0.204164,0.000000,0.204164,,,,0
15,0.196490,0.000000,0.196490,0.009,3.249,3.240,1
16,0.188906,0.000000,0.188906,,,,0
17,0.166877,0.000000,0.166877,,,,0
18,0.164744,0.000000,0.164744,,,,0
19,0.146101,0.000000,0.146101,,,,0
20,0.135725,0.000000,0.135725,0.009,3.496,3.487,1
21,0.129237,0.000000,0.129237,,,,0
22,0.114015,0.000000,0.114015,,,,0
23,0.100768,0.000000,0.100768,,,,0
24,0.090564,0.000000,0.090564,,,,0
25,0.082319,0.000000,0.082319,0.009,4.293,4.284,1
26,0.075820,0.000000,0.075820,,,,0
27,0.073027,0.000000,0.073027,,,,0
28,0.070573,0.000000,0.070573,,,,0
29,0.065827,0.000000,0.065827,,,,0
30,0.062634,0.000000,0.062634,0.009,4.431,4.422,1
31,0.059399,0.000000,0.059399,,,,0
32,0.057705,0.000000,0.057705,,,,0
33,0.055689,0.000000,0.055689,,,,0
34,0.054152,0.000000,0.054152,,,,0
35,0.053032,0.000000,0.053032,0.009,4.824,4.815,1
36,0.052071,0.000000,0.052071,,,,0
37,0.049967,0.000000,0.049967,,,,0
38,0.048029,0.000000,0.048029,,,,0
39,0.047488,0.000000,0.047488,,,,0
40,0.047247,0.000000,0.047247,0.009,4.724,4.715,0
41,0.046453,0.000000,0.046453,,,,0
42,0.045120,0.000000,0.045120,,,,0
43,0.044318,0.000000,0.044318,,,,0
44,0.044212,0.000000,0.044212,,,,0
45,0.043421,0.000000,0.043421,0.009,4.888,4.878,1
46,0.042262,0.000000,0.042262,,,,0
47,0.041723,0.000000,0.041723,,,,0
48,0.040896,0.000000,0.040896,,,,0
49,0.040001,0.000000,0.040001,,,,0
50,0.039565,0.000000,0.039565,0.009,4.806,4.797,0
51,0.039188,0.000000,0.039188,,,,0
52,0.038628,0.000000,0.038628,,,,0
53,0.037617,0.000000,0.037617,,,,0
54,0.037182,0.000000,0.037182,,,,0
55,0.036793,0.000000,0.036793,0.009,4.999,4.990,1
56,0.036538,0.000000,0.036538,,,,0
57,0.036054,0.000000,0.036054,,,,0
58,0.036437,0.000000,0.036437,,,,0
59,0.036788,0.000000,0.036788,,,,0
60,0.036132,0.000000,0.036132,0.009,4.914,4.905,0
61,0.035159,0.000000,0.035159,,,,0
62,0.034897,0.000000,0.034897,,,,0
63,0.035105,0.000000,0.035105,,,,0
64,0.035132,0.000000,0.035132,,,,0
65,0.035014,0.000000,0.035014,0.009,4.707,4.698,0
66,0.034397,0.000000,0.034397,,,,0
67,0.033839,0.000000,0.033839,,,,0
68,0.033434,0.000000,0.033434,,,,0
69,0.033075,0.000000,0.033075,,,,0
70,0.033017,0.000000,0.033017,0.009,4.887,4.878,0
