name,SDR_in,SDR_out,Delta_SDR
Easy selected,-0.022333333333333334,12.803333333333333,12.825000000000001
Easy valid all,-0.0132,6.952580000000001,6.96578
Hard selected,-0.8843333333333333,9.835,10.719333333333333
Hard valid all,-0.9327666666666666,1.6166333333333334,2.5494166666666667
